0000-001F: C0控制
11C00-11C0D: 獨立元音
11C0E-11C2E: 輔音
11C2F-11C3B: 相關元音符號
11C3C-11C40: 各種標誌
11C41-11C43: 標點
11C44-11C45: 間隙填充物
11C50-11C59: 位數
11C5A-11C6C: 號碼
11C70-11C71: 標點
11C72-11C8F: 字母
11C92-11CAF: 次連字母
11CB0-11CB4: 相關元音符號
11CB5-11CB6: 各種標誌
11D00-11D0B: 元音
11D0C-11D2D: 輔音
11D2E-11D30: 連詞
11D31-11D3F: 相關元音符號
11D40-11D44: 各種標誌
11D45-11D45: 維拉瑪
11D46-11D47: 集群特定的輔音形式
11D50-11D59: 位數
11D60-11D6B: 獨立元音
11D6C-11D89: 輔音
11D8A-11D94: 相關元音符號
11D95-11D96: 各種標誌
11D97-11D97: 維拉瑪
11D98-11D98: 符號
11DA0-11DA9: 位數
11EE0-11EF1: 輔音
11EF2-11EF2: 輔音複製器
11EF3-11EF6: 元音符號
11EF7-11EF8: 標點
#11F00-11F03: ***Signs
#11F04-11F10: ***Independent vowels
#11F12-11F33: ***Consonants
#11F34-11F40: ***Dependent vowel signs
#11F41-11F42: ***Viramas
#11F43-11F4F: ***Punctuation
#11F50-11F59: ***Digits
11FB0-11FB0: 信
11FC0-11FD4: 分數
11FD5-11FDC: 糧食措施
11FDD-11FE0: 舊貨幣符號
11FE1-11FE3: 重量，長度和麵積的符號
11FE4-11FE7: 農業符號
11FE8-11FED: 文書符號
11FEE-11FF1: 其他符號和縮寫
11FFF-11FFF: 標點
12000-1236E: 跡象
1236F-1236F: 花崗岩標誌
12370-12399: 跡象
12400-12459: 數字符號
1245A-12464: 分數
12465-12466: 藍寶石級分
12467-12468: 人造數字符號
12469-1246E: 數字符號
12470-12474: 標點
12480-12543: 跡象
#12F90-12FF0: ***Signs
#12FF1-12FF2: ***Punctuation
13000-1304F: A.人及其職業
13050-13059: B.婦女及其職業
1305A-13075: C.擬人神靈
13076-130D1: D.人體部位
130D2-130FD: E.哺乳動物
130FE-1313E: F.哺乳動物的部分
1313F-1317E: G.鳥
1317F-13187: H.鳥的部分
13188-1319A: I.兩棲動物，爬行動物等
1319B-131A2: K.魚類和部分魚類
131A3-131AC: L. Invertabrata和小動物
131AD-131EE: M.樹木和植物
131EF-1321F: N.天空，地球，水
13220-13235: NL。下埃及的諾姆人
13236-1324F: NU。上埃及的諾姆人
13250-1329A: O.建築物，建築物的一部分等
1329B-132A7: P.船舶及部分船舶
132A8-132AE: Q.家用和陪葬家具
132AF-132D0: R.聖殿家具和神聖標誌
132D1-13306: S.冠，禮服，五線譜等
13307-13332: T.戰爭，狩獵，屠殺
13333-13361: 美國農業，手工業和專業
13362-133AE: V.繩索，纖維，籃子，袋子等
133AF-133CE: W.石頭和陶器的船隻
133CF-133DA: 十。麵包和蛋糕
133DB-133E3: Y.寫作，遊戲，音樂
133E4-1340C: Z.筆觸，源自等級幾何圖形的符號
1340D-1342E: Aa.未分類
#1342F-1342F: ***Addition to group V
13430-13431: 細木工
13432-13435: 標牌插入控件
13436-13436: 標誌堆放控制
13437-13438: 段範圍界定符
#13439-1343B: ***Sign insertion controls
#1343C-1343F: ***Enclosure controls
#13440-13440: ***Mirror control
#13441-13446: ***Blank and lost signs
#13447-13455: ***Damage modifiers
14400-14469: A.人體和衣物
1446A-144AF: B.動物
144B0-144D0: C.植物
144D1-14501: D.自然
14502-1452F: E.建築物
14530-14576: F.武器，工具，家具和其他工具
14577-14595: G.花瓶和容器
14596-145AC: H.符號
145AD-145E5: J.線，數和幾何形狀
145E6-14628: 瓦里亞
14629-14646: M.附加標誌
16800-16856: 通過階段A找到的字符
16857-1688E: 通過階段B找到的字符
1688F-168F0: 通過階段C找到的字符
168F1-16965: 通過階段D找到的字符
16966-16A02: 通過階段E找到的字符
16A03-16A38: 通過階段F找到的字符
16A40-16A5E: 字母
16A60-16A69: 位數
16A6E-16A6F: 標點
#16A70-16A9F: ***Vowels
#16AA0-16ABE: ***Consonants
#16AC0-16AC9: ***Digits
16AD0-16AE6: 輔音字母
16AE7-16AED: 元音字母
16AF0-16AF4: 合併音調標記
16AF5-16AF5: 標點
16B00-16B1B: 元音邊緣
16B1C-16B2F: 輔音發作
16B30-16B36: 結合變音標記
16B37-16B3B: 標點
16B3C-16B3F: 數學運算符
16B40-16B43: 修飾語字母
16B44-16B45: 標點
16B50-16B59: 位數
16B5B-16B61: 號碼
16B63-16B77: 標誌
16B7D-16B8F: 氏族名字的標誌
16E40-16E5F: 大寫字母
16E60-16E7F: 小寫字母
16E80-16E89: 位數
16E8A-16E93: 號碼
16E94-16E96: 備用數字
16E97-16E98: 標點
16E99-16E9A: 符號
16F00-16F4A: 輔音發作
16F4F-16F53: 修飾符
16F54-16F87: 元音和決賽
16F8F-16F92: 定位音標
16F93-16F99: 基線色調標記
16F9A-16F9F: 古代基準音調標記
16FE0-16FE0: 切痕
16FE1-16FE1: 女shu
16FE2-16FE3: 中國古代文字中使用的標記
16FE4-16FE4: 小契丹格式字符
16FF0-16FF1: 結合變音符號用於CJK表意文字
18800-18809: 一沖程組件
1880A-18825: 二衝程組件
18826-1885F: 三衝程組件
18860-188CB: 四衝程組件
188CC-18958: 五衝程組件
18959-189DA: 六衝程組件
189DB-18A40: 七衝程組件
18A41-18A98: 八衝程組件
18A99-18AC0: 九衝程組件
18AC1-18AD4: 十衝程組件
18AD5-18AE2: 十一沖程組件
18AE3-18AEB: 十二衝程組件
18AEC-18AF1: 十三衝程組件
18AF2-18AF2: 十六衝程組件
18AF3-18AFF: 附加組件
18B00-18B00: 重複標記
18B01-18B35: 激進01
18B36-18B69: 激進02
18B6A-18B93: 激進03
18B94-18BAC: 激進04
18BAD-18BD1: 激進05
18BD2-18C00: 激進06
18C01-18C12: 激進07
18C13-18C27: 激進08
18C28-18C2E: 激進09
18C2F-18C36: 激進的10
18C37-18C4B: 激進的11
18C4C-18C51: 部首12
18C52-18C63: 激進的13
18C64-18C7E: 激進14
18C7F-18C8B: 激進15
18C8C-18C94: 激進16
18C95-18CBF: 激進的17
18CC0-18CCB: 激進18
18CCC-18CD2: 激進的19
18CD3-18CD5: 激進的20
#1AFF0-1AFF6: ***Tone marks
#1AFF7-1AFFE: ***Nasalized tone marks
1B000-1B000: 歷史片假名
1B001-1B001: 歷史悠久的平假名和本田假名
1B002-1B0FF: 本田假名
1B100-1B11E: 本田假名
#1B11F-1B11F: ***Historic Hiragana
#1B120-1B122: ***Historic Katakana
#1B132-1B152: ***Historic small hiragana letters
#1B155-1B167: ***Historic small katakana letters
1B170-1B170: 一鍵字符
1B171-1B177: 二衝程字符
1B178-1B18A: 三衝程字符
1B18B-1B1A7: 四衝程字符
1B1A8-1B1DD: 五衝程字符
1B1DE-1B215: 六衝程字符
1B216-1B243: 七衝程字符
1B244-1B283: 八筆字符
1B284-1B2AF: 九筆字符
1B2B0-1B2CD: 十筆字符
1B2CE-1B2E0: 十一筆字符
1B2E1-1B2ED: 十二筆劃
1B2EE-1B2F3: 十三筆字符
1B2F4-1B2F6: 十四筆字符
1B2F7-1B2F9: 十五筆字符
1B2FA-1B2FB: 十六筆字符
1BC00-1BC01: 非連接輔音
1BC02-1BC18: 線輔音
1BC19-1BC31: 弧輔音
1BC32-1BC3A: 向下書寫的四分之一弧輔音
1BC3B-1BC40: 向上書寫的四分之一弧輔音
1BC41-1BC45: 圓元音
1BC46-1BC4E: 半圓元音
1BC4F-1BC50: 對角線元音
1BC51-1BC54: 四分之一圓元音
1BC55-1BC59: 其他元音
1BC5A-1BC5B: 點圓元音
1BC5C-1BC60: 複合元音
1BC61-1BC64: 基本的鼻元音
1BC65-1BC6A: 額外的鼻元音
1BC70-1BC7C: 附詞綴
1BC80-1BC88: 高詞綴
1BC90-1BC99: 低詞綴
1BC9C-1BC9C: 雜項標誌
1BC9D-1BC9D: 斯隆R形式選擇器
1BC9E-1BC9E: 速記雙標記
1BC9F-1BC9F: 奇努克標點符號
1BCA0-1BCA3: 速記格式控件
#1CF00-1CF2D: ***Combining red marks
#1CF30-1CF41: ***Combining black marks
#1CF42-1CF46: ***Modifying marks for priznaki
#1CF50-1CFC3: ***Znamenny neumes
1D000-1D002: 韻律（韻律）
1D003-1D014: 埃克福尼蒂卡
1D015-1D045: 旋律（旋律）
1D046-1D056: Fonitika（人聲）
1D057-1D07E: Afona或Ypostaseis（靜音或Hypostases）
1D07F-1D089: Argies（晚會）
1D08A-1D08E: Leimmata或Siopes（Leimmas或Silencers）
1D08F-1D099: Synagmata或Gorgotite（Synagmas或Quickeners）
1D09A-1D0A1: Agogika（管道）
1D0A2-1D0B5: Ichimata和Martyrika（Ichimas和證據）
1D0B6-1D0CA: Fthores（驅逐艦）
1D0CB-1D0D9: 同種異體（微分）
1D0DA-1D0E5: 節奏（節奏）
1D0E6-1D0EF: 語法（字母）
1D0F0-1D0F5: 特價商品
1D100-1D105: 吧台
1D106-1D10C: 尾聲
1D10D-1D10F: 圖重複
1D110-1D113: 保持並暫停
1D114-1D115: 員工括號
1D116-1D11B: 梯級
1D11C-1D11D: 製表
1D11E-1D126: 譜號
1D129-1D129: 休息
1D12A-1D133: 意外事故
1D134-1D135: 時間簽名
1D136-1D139: 八度
1D13A-1D142: 休息
1D143-1D15B: 便簽
1D15C-1D164: 筆記
1D165-1D166: 莖
1D167-1D16C: 特雷莫洛斯
1D16D-1D16D: 增強點
1D16E-1D172: 標誌
1D173-1D17A: 樑和泥漿
1D17B-1D18E: 關節
1D18F-1D193: 動力學
1D194-1D1A5: 飾物
1D1A6-1D1A9: 分析工具
1D1AA-1D1AD: 儀器儀表
1D1AE-1D1B0: 踏板
1D1B1-1D1B5: 雜項符號
1D1B6-1D1C0: 心理筆記
1D1C1-1D1C6: 精神休息
1D1C7-1D1CE: 心理傾向
1D1CF-1D1CF: 雜項符號
1D1D0-1D1D1: 譜號
1D1D2-1D1D2: 偶然
1D1D3-1D1DD: 筆記
1D1DE-1D1DE: 譜號
1D1DF-1D1DF: 裝飾物
1D1E0-1D1E7: 筆記
1D1E8-1D1E8: 偶然
#1D1E9-1D1EA: ***Accidentals for quarter tones
1D200-1D21C: 古希臘聲樂符號
1D21D-1D241: 古希臘器樂符號
1D242-1D245: 更多希臘樂譜符號
#1D2C0-1D2D3: ***Numerals
1D2E0-1D2F3: 瑪雅數字
1D300-1D300: 會標
1D301-1D305: 語法圖
1D306-1D356: 四卦
1D360-1D371: 計數桿單位
1D372-1D376: 表意符號
1D377-1D378: 西方記號
1D400-1D433: 粗體符號
1D434-1D467: 斜體符號
1D468-1D49B: 粗斜體符號
1D49C-1D4CF: 腳本符號
1D4D0-1D503: 粗體腳本符號
1D504-1D537: Fraktur符號
1D538-1D56B: 雙擊符號
1D56C-1D59F: 大膽的Fraktur符號
1D5A0-1D5D3: 無襯線符號
1D5D4-1D607: 無襯線粗體符號
1D608-1D63B: 無襯線斜體符號
1D63C-1D66F: 無襯線粗體斜體符號
1D670-1D6A3: 等寬符號
1D6A4-1D6A5: 無點符號
1D6A8-1D6DA: 大膽的希臘符號
1D6DB-1D6E1: 其他粗體希臘符號
1D6E2-1D714: 斜體希臘符號
1D715-1D71B: 其他斜體希臘符號
1D71C-1D74E: 粗斜體希臘符號
1D74F-1D755: 其他粗體斜體希臘符號
1D756-1D788: Sans-Serif粗體希臘符號
1D789-1D78F: 其他無襯線粗體希臘符號
1D790-1D7C2: Sans-serif粗體斜體希臘符號
1D7C3-1D7C9: 其他無襯線粗體斜體希臘符號
1D7CA-1D7CB: 其他粗體希臘符號
1D7CE-1D7D7: 粗體數字
1D7D8-1D7E1: 雙擊數字
1D7E2-1D7EB: 無襯線數字
1D7EC-1D7F5: 無襯線粗體數字
1D7F6-1D7FF: 等寬數字
1D800-1D80D: 用食指的手形
1D80E-1D81D: 食指和中指的手形
1D81E-1D843: 用食指和中指和拇指的手形
1D844-1D84B: 用四個手指的手形
1D84C-1D885: 用五個手指的手形
1D886-1D8A3: 小手指的手形狀
1D8A4-1D8B9: 用無名指的手形狀
1D8BA-1D8CC: 中指的手形
1D8CD-1D8F4: 用食指和拇指的手形
1D8F5-1D904: 用拇指手形
1D905-1D915: 觸頭運動指示器
1D916-1D929: 手指運動指標
1D92A-1D9F4: 運動指標
1D9F5-1D9FE: 動力學指標
1D9FF-1DA6C: 頭部形狀
1DA6D-1DA7E: 身體形狀
1DA7F-1DA86: 地點基地
1DA87-1DA8B: 標點
1DA9B-1DA9F: 填充修飾符
1DAA1-1DAAF: 旋轉修改器
#1DF00-1DF07: ***Extended IPA for disordered speech
#1DF08-1DF0A: ***IPA extensions
#1DF0B-1DF10: ***Clicks
#1DF11-1DF11: ***Lateral
#1DF12-1DF18: ***Letters with palatal hooks
#1DF19-1DF1D: ***Letters with retroflex hooks
#1DF1E-1DF1E: ***IPA extension
#1DF25-1DF2A: ***Letters for Malayalam transliteration
1E000-1E02A: 組合字母
#1E030-1E050: ***Superscript modifier letters
#1E051-1E06A: ***Subscript modifier letters
#1E06B-1E06D: ***Superscript modifier letters
#1E08F-1E08F: ***Diacritical mark
1E100-1E123: 輔音發作
1E124-1E12C: 元音邊緣
1E130-1E136: 色調標記
1E137-1E13B: 確定性
1E13C-1E13C: 重複標記
1E13D-1E13D: 音節延長器
1E140-1E149: 位數
1E14E-1E14F: 符號
#1E290-1E2A0: ***Basic consonants
#1E2A1-1E2AD: ***Basic vowels
#1E2AE-1E2AE: ***Sign
1E2C0-1E2EB: 字母
1E2EC-1E2EF: 色調標記
1E2F0-1E2F9: 位數
1E2FF-1E2FF: 貨幣符號
#1E4D0-1E4EA: ***Letters
#1E4EB-1E4EF: ***Various signs
#1E4F0-1E4F9: ***Digits
#1E7E0-1E7FE: ***Syllables for Gurage
1E800-1E807: k-中的音節
1E808-1E810: w-中的音節
1E811-1E813: wv-中的音節
1E814-1E81A: M-中的音節
1E81B-1E821: b-中的音節
1E822-1E82D: 元音
1E82E-1E835: s-中的音節
1E836-1E83D: l-中的音節
1E83E-1E843: d-中的音節
1E844-1E84A: t-中的音節
1E84B-1E852: j-中的音節
1E853-1E859: y-中的音節
1E85A-1E862: f-中的音節
1E863-1E867: n-中的音節
1E868-1E876: h-中的音節
1E877-1E882: ngg-中的音節
1E883-1E888: g-中的音節
1E889-1E88B: ng-中的音節
1E88C-1E892: p-中的音節
1E893-1E89E: mb-中的音節
1E89F-1E8A5: kp-中的音節
1E8A6-1E8AC: gb-中的音節
1E8AD-1E8AD: Syllable in r-中的音節
1E8AE-1E8B4: nd-中的音節
1E8B5-1E8B8: nj-中的音節
1E8B9-1E8BF: v-中的音節
1E8C0-1E8C4: ny-中的音節
1E8C7-1E8CF: 位數
1E8D0-1E8D6: 組合數字基
1E900-1E91B: 大寫字母
1E91C-1E921: 補充大寫字母
1E922-1E93D: 小寫字母
1E93E-1E943: 補充小寫字母
1E944-1E94A: 變音標記
1E94B-1E94B: 修飾語
1E950-1E959: 位數
1E95E-1E95F: 標點
1EC71-1EC79: 主數
1EC7A-1EC82: 十
1EC83-1EC8B: 幾百
1EC8C-1EC94: 千
1EC95-1EC9D: 萬
1EC9E-1ECA0: 拉克族
1ECA1-1ECA2: 克羅
1ECA3-1ECAB: 主數的前綴形式
1ECAC-1ECAC: 佔位符
1ECAD-1ECAF: 分數
1ECB0-1ECB0: 貨幣符號
1ECB1-1ECB4: 替代形式
1ED01-1ED09: 主數
1ED0A-1ED12: 十
1ED13-1ED1B: 幾百
1ED1C-1ED24: 千
1ED25-1ED2D: 萬
1ED2E-1ED2E: 乘數
1ED2F-1ED3B: 替代形式
1ED3C-1ED3D: 分數
1EE00-1EE1F: 孤立的符號
1EE21-1EE3B: 初始符號
1EE42-1EE5F: 尾部符號
1EE61-1EE7E: 延伸符號
1EE80-1EE9B: 環狀符號
1EEA1-1EEBB: 雙擊符號
1EEF0-1EEF1: 拉伸運算符
1F000-1F003: 流行風磚
1F004-1F006: 龍瓷磚
1F007-1F00F: 角色套裝瓷磚
1F010-1F018: 竹製瓷磚
1F019-1F021: 圓形西裝瓷磚
1F022-1F025: 花磚
1F026-1F029: 季節瓷磚
1F02A-1F02B: 雜項瓷磚
1F030-1F030: 水平磚
1F031-1F037: 零
1F038-1F03E: 那些
1F03F-1F045: 二元
1F046-1F04C: 三人制
1F04D-1F053: 四肢
1F054-1F05A: 五人制
1F05B-1F061: Sixes
1F062-1F062: 垂直瓷磚
1F063-1F069: 零
1F06A-1F070: 那些
1F071-1F077: 二元
1F078-1F07E: 三人制
1F07F-1F085: 四肢
1F086-1F08C: 五人制
1F08D-1F093: Sixes
1F0A0-1F0A0: 卡背面
1F0A1-1F0AE: 黑桃或劍
1F0B1-1F0BE: 心或杯子
1F0BF-1F0BF: 小丑
1F0C1-1F0CE: 鑽石或五角形
1F0CF-1F0CF: 小丑
1F0D1-1F0DE: 棍棒
1F0DF-1F0DF: 小丑
1F0E0-1F0F5: 特朗普
1F100-1F100: 句號
1F101-1F10A: 帶逗號的數字
1F10B-1F10C: 帶圓圈的無襯線數字
1F10D-1F10F: 知識共享符號
1F110-1F129: 帶括號的拉丁字母
1F12A-1F12A: 帶龜甲括號的拉丁字母
1F12B-1F12C: 帶圓圈的斜體拉丁字母
1F12D-1F12F: 帶圓圈的拉丁字母或字母序列
1F130-1F14F: 拉丁字母平方
1F150-1F169: 白底黑圈拉丁字母
1F16A-1F16C: 凸起的平方拉丁序列
1F16D-1F16F: 知識共享符號
1F170-1F18F: 白底黑字拉丁字母
1F190-1F19A: 平方拉丁字母序列
1F19B-1F1AC: 來自ARIB STD B62的平方拉丁字母序列
1F1AD-1F1AD: 雜項符號
1F1E6-1F1FF: 區域指標符號
1F200-1F200: ARIB STD B24的平假名
1F201-1F202: 平方片假名
1F210-1F231: 方格表意文字和假名起ARIB STD B24
1F232-1F23B: 表意文字
1F240-1F248: 帶龜甲支架的表意文字from ARIB STD B24
1F250-1F251: 盤旋表意文字
1F260-1F265: 中國民間宗教的符號
1F300-1F30C: 天氣，景觀和天空符號
1F30D-1F310: 地球符號
1F311-1F320: 月亮，太陽和星星符號
1F321-1F32C: 天氣符號
1F32D-1F32F: 食品符號
1F330-1F344: 植物符號
1F345-1F353: 水果和蔬菜的符號
1F354-1F374: 食品符號
1F375-1F37C: 飲料符號
1F37D-1F37D: 住宿符號
1F37E-1F37F: 飲料和食品符號
1F380-1F397: 慶祝活動符號
1F398-1F39D: 音樂符號
1F39E-1F3AD: 娛樂符號
1F3AE-1F3B4: 遊戲符號
1F3B5-1F3BC: 音樂符號
1F3BD-1F3D3: 體育符號
1F3D4-1F3F0: 建築和地圖符號
1F3F1-1F3F4: 標記符號
1F3F5-1F3F6: 玫瑰花結
1F3F7-1F3F7: 雜項符號
1F3F8-1F3F9: 體育符號
1F3FA-1F3FA: 雜項符號
1F3FB-1F3FF: 表情符號修飾符
1F400-1F42C: 動物符號
1F42D-1F43D: 動物的臉
1F43E-1F43F: 動物符號
1F440-1F445: 面部零件符號
1F446-1F450: 手形符號
1F451-1F463: 服裝及配件
1F464-1F477: 人像和角色符號
1F478-1F480: 童話故事符號
1F481-1F483: 角色符號
1F484-1F488: 個人護理符號
1F489-1F48A: 醫學符號
1F48B-1F492: 浪漫符號
1F493-1F49F: 心符號
1F4A0-1F4AD: 漫畫風格的符號
1F4AE-1F4AF: 日本學校年級符號
1F4B0-1F4B9: 金錢符號
1F4BA-1F4DC: 辦公室符號
1F4DD-1F4F6: 通訊符號
1F4F7-1F4FE: 音頻和視頻符號
1F4FF-1F4FF: 宗教象徵
1F500-1F518: 用戶界面符號
1F519-1F51D: 帶有箭頭的單詞
1F51E-1F51F: 封閉的字母數字符號
1F520-1F524: 用戶界面輸入狀態符號
1F525-1F52E: 工具符號
1F52F-1F531: 雜項符號
1F532-1F539: 幾何形狀
1F53A-1F53D: 用戶界面符號
1F53E-1F53F: 陰影的幾何形狀
1F540-1F54E: 宗教符號
1F54F-1F54F: 雜項符號
1F550-1F567: 鐘面符號
1F568-1F56C: 通訊符號
1F56D-1F576: 雜項符號
1F577-1F578: 動物符號
1F579-1F579: 遊戲符號
1F57A-1F57A: 角色符號
1F57B-1F58D: 通訊符號
1F58E-1F5A3: 手形符號
1F5A4-1F5A4: 心符號
1F5A5-1F5B8: 電腦符號
1F5B9-1F5BE: 辦公室符號
1F5BF-1F5DD: 用戶界面符號
1F5DE-1F5E0: 雜項符號
1F5E1-1F5E3: 等級符號
1F5E4-1F5E7: 聲音符號
1F5E8-1F5F2: 氣泡符號
1F5F3-1F5F9: 選票符號
1F5FA-1F5FA: 地圖符號
1F5FB-1F5FF: 文化符號
1F600-1F637: 面孔
1F638-1F640: 貓臉
1F641-1F644: 面孔
1F645-1F64F: 手勢符號
1F650-1F667: 芙蓉
1F668-1F66B: 被子方形飾品
1F66C-1F66F: 火箭飾品
1F670-1F675: ＆和連字及裝飾
1F676-1F67D: 標點符號飾品
1F67E-1F67F: 雜項符號
1F680-1F6A4: 汽車
1F6A5-1F6A8: 交通標識
1F6A9-1F6CA: 標牌及其他符號
1F6CB-1F6CF: 住宿符號
1F6D0-1F6D2: 標牌及其他符號
1F6D3-1F6D7: 地圖符號
#1F6DC-1F6E4: ***Miscellaneous symbols
1F6E5-1F6FC: 汽車
1F700-1F704: 亞里士多德元素的符號
1F705-1F70C: 重要溶劑的符號
1F70D-1F713: 硫和汞的符號
1F714-1F719: 鹽，硫酸和氮的符號
1F71A-1F71B: 黃金和白銀的符號
1F71C-1F71F: 鐵，鐵礦石及其衍生物的符號
1F720-1F728: 銅，銅礦石及其衍生物的符號
1F729-1F72A: 錫和鉛礦石的符號
1F72B-1F735: 銻，銻礦石和衍生物的符號
1F736-1F75D: 其他物質的符號
1F75E-1F764: 工藝流程
1F765-1F76D: 儀器
1F76E-1F771: 時間
1F772-1F773: 措施
#1F774-1F774: ***Other symbol
#1F775-1F776: ***Eclipse symbols
#1F77B-1F77F: ***Symbols for dwarf planets
1F780-1F783: 等腰直角三角形
1F784-1F784: 黑眼圈
1F785-1F789: 白圈
1F78A-1F78A: 包含另一個黑色圓圈的白色圓圈
1F78B-1F78B: 目標符號
1F78C-1F78D: 黑色方塊
1F78E-1F793: 白色方塊
1F794-1F795: 包含另一個黑色方塊的白色方塊
1F796-1F796: 目標符號
1F797-1F799: 黑鑽石
1F79A-1F79B: 包含另一顆黑鑽石的白鑽石
1F79C-1F79C: 目標符號
1F79D-1F79F: 黑錠劑
1F7A0-1F7A0: 白色錠劑含另一種黑色錠劑
1F7A1-1F7A7: 希臘十字架
1F7A8-1F7AE: 薩爾蒂埃人
1F7AF-1F7B4: 五個星號
1F7B5-1F7BA: 六個星號
1F7BB-1F7BF: 八種星號
1F7C0-1F7C3: 三尖星
1F7C4-1F7C8: 四顆尖星
1F7C9-1F7CA: 五顆尖星
1F7CB-1F7CD: 六顆尖星
1F7CE-1F7D1: 八角星
1F7D2-1F7D4: 十二顆尖星
1F7D5-1F7D8: 去石筆
#1F7D9-1F7D9: ***Nine pointed star
1F7E0-1F7E4: 彩色的圓圈
1F7E5-1F7EB: 彩色方塊
#1F7F0-1F7F0: ***Miscellaneous symbol
1F800-1F80B: 帶有三角形箭頭的箭頭
1F810-1F81F: 等邊三角形箭頭的箭頭
1F820-1F833: 帶有不同軸重的三角形箭頭
1F834-1F837: 指尖箭頭
1F838-1F83B: 方形箭頭
1F83C-1F843: 壓縮箭頭
1F844-1F847: 重箭
1F850-1F859: 無襯線箭頭
1F860-1F887: 寬頭倒鉤箭頭
1F890-1F897: 箭頭
1F898-1F89B: 缺口箭頭
1F89C-1F89F: 重型箭桿
1F8A0-1F8AB: 帶陰影的白色箭頭
1F8AC-1F8AD: 白色箭頭軸
1F8B0-1F8B1: 遺留計算的箭頭
1F900-1F90B: Typicon符號
1F90C-1F90C: 手形符號
1F90D-1F90E: 彩色的心符號
1F90F-1F90F: 手形符號
1F910-1F917: 表情臉
1F918-1F91F: 手形符號
1F920-1F92F: 表情臉
1F930-1F937: 人像和角色符號
1F938-1F93F: 體育符號
1F940-1F94F: 雜項符號
1F950-1F96F: 食品符號
1F970-1F97A: 面孔
1F97B-1F97F: 服裝
1F980-1F9AD: 動物符號
1F9AE-1F9AF: 輔助功能符號
1F9B0-1F9B3: 表情符號組件
1F9B4-1F9B7: 身體部位
1F9B8-1F9B9: 角色符號
1F9BA-1F9BF: 輔助功能符號
1F9C0-1F9CB: 食品符號
#1F9CC-1F9CC: ***Fantasy being
1F9CD-1F9CF: 人像和輔助功能符號
1F9D0-1F9D8: 人像和角色符號
1F9D9-1F9DF: 幻想生物
1F9E0-1F9E6: 雜項符號
1F9E7-1F9E9: 活動項目
1F9EA-1F9FF: 對象
1FA00-1FA05: 中性棋符號
1FA06-1FA08: 國際象棋符號旋轉45度
1FA09-1FA1A: 國際象棋符號旋轉90度
1FA1B-1FA1D: 國際象棋符號旋轉135度
1FA1E-1FA2F: 國際象棋符號旋轉180度（已轉動）
1FA30-1FA32: 國際象棋符號旋轉225度
1FA33-1FA44: 國際象棋符號旋轉270度
1FA45-1FA47: 國際象棋符號旋轉315度
1FA48-1FA4A: 國際象棋
1FA4B-1FA4D: 國際象棋equiphopper旋轉90度
1FA4E-1FA53: 混合象棋符號
1FA60-1FA6D: 象棋符號
1FA70-1FA74: 服裝
#1FA75-1FA77: ***Colored heart symbols
#1FA78-1FA7C: ***Medical symbols
1FA80-1FA86: 玩具和運動符號
#1FA87-1FA88: ***Musical instruments
#1FA90-1FAAE: ***Miscellaneous objects
#1FAAF-1FAAF: ***Religious symbol
#1FAB0-1FABF: ***Animals and nature
1FAC0-1FAC1: 身體部位
#1FAC2-1FAC5: ***People
#1FACE-1FACF: ***Animals and nature
#1FAD0-1FADB: ***Food and drink
#1FAE0-1FAE5: ***Faces
#1FAE6-1FAE7: ***Emotion
#1FAE8-1FAE8: ***Face
#1FAF0-1FAF8: ***Hand symbols
1FB00-1FB3B: 塊鑲嵌端子圖形字符
1FB3C-1FB6F: 平滑的鑲嵌式終端圖形字符
1FB70-1FB8B: 塊元素
1FB8C-1FB94: 矩形陰影字符
1FB95-1FB99: 填充字符
1FB9A-1FB9B: 平滑的鑲嵌式終端圖形字符
1FB9C-1FB9F: 三角形陰影字符
1FBA0-1FBAE: 角色單元對角線
1FBAF-1FBAF: 輕實線描邊
1FBB0-1FBB3: 終端圖形字符
1FBB4-1FBB8: 箭
1FBB9-1FBBC: 終端圖形字符
1FBBD-1FBBF: 負端子圖形字符
1FBC0-1FBCA: 終端圖形字符
1FBF0-1FBF9: 分段數字
1FFFE-1FFFF: 非字符
2F800-2FA1D: CNS 11643-1992中的重複字符
2FFFE-2FFFF: 非字符
3FFFE-3FFFF: 非字符
4FFFE-4FFFF: 非字符
5FFFE-5FFFF: 非字符
6FFFE-6FFFF: 非字符
7FFFE-7FFFF: 非字符
8FFFE-8FFFF: 非字符
9FFFE-9FFFF: 非字符
AFFFE-AFFFF: 非字符
BFFFE-BFFFF: 非字符
CFFFE-CFFFF: 非字符
DFFFE-DFFFF: 非字符
E0001-E0001: 標籤標識符
E0020-E007E: 標籤組件
E007F-E007F: 有狀態標籤終止符
E0100-E01EF: 表意特定變體選擇器
EFFFE-EFFFF: 非字符
FFFFE-FFFFF: 非字符
#0020-002F: ASCII標點和符號
#003A-0040: ASCII標點和符號
#061E-061F: 標點
#0674-06D3: 擴展的阿拉伯字母
#0CDE-0CDE: 其他輔音
#0CF1-0CF2: 梵文中使用的標誌
#0ECC-0ECD: 跡象
#1401-166C: 音節
#1714-1714: 維拉瑪
#180B-180E: 格式控制
#1AB0-1ABE: 用於德國方言學
#1B45-1B4B: 其他輔音
#20A0-20BF: 貨幣符號
#2C00-2C2E: 大寫字母
#2C30-2C5E: 小寫字母
#2E4A-2E52: 標點符號
