0000-001F: C0コントロール
11D31-11D3F: 従属母音記号
11D40-11D44: さまざまな兆候
11D45-11D45: ビラマ
11D46-11D47: クラスター固有の子音形式
11D50-11D59: 数字
11D60-11D6B: 独立母音
11D6C-11D89: 子音
11D8A-11D94: 従属母音記号
11D95-11D96: さまざまな兆候
11D97-11D97: ビラマ
11D98-11D98: シンボル
11DA0-11DA9: 数字
11EE0-11EF1: 子音
11EF2-11EF2: 子音再生
11EF3-11EF6: 母音記号
11EF7-11EF8: 句読点
11FB0-11FB0: 文字
11FC0-11FD4: 分数
11FD5-11FDC: 穀物の対策
11FDD-11FE0: 古い通貨記号
11FE1-11FE3: 重量、長さ、面積の記号
11FE4-11FE7: 農業のシンボル
11FE8-11FED: 事務記号
11FEE-11FF1: その他の記号と略語
11FFF-11FFF: 句読点
12000-1236E: サイン
1236F-1236F: エラム記号
12370-12399: サイン
12400-12459: 数値記号
1245A-12464: 分数
12465-12466: Elamite分数
12467-12468: Elamite数値記号
12469-1246E: 数値記号
12470-12474: 句読点
12480-12543: サイン
13000-1304F: A.人と彼の職業
13050-13059: B.女性と彼女の職業
1305A-13075: C.擬人化された神
13076-130D1: D.人体の一部
130D2-130FD: E.哺乳類
130FE-1313E: F.哺乳類のパーツ
1313F-1317E: G.鳥
1317F-13187: H.鳥の部分
13188-1319A: I.水陸両生動物、爬虫類など
1319B-131A2: K.魚と魚の部分
131A3-131AC: L. Invertabrataと小動物
131AD-131EE: M.木と植物
131EF-1321F: N.空、大地、水
13220-13235: NL。下エジプトのノーム
13236-1324F: NU。上エジプトのノーム
13250-1329A: O.建物、建物の一部など
1329B-132A7: P.船および船の一部
132A8-132AE: Q.家庭用および葬式の家具
132AF-132D0: R.テンプルの家具と神聖なエンブレム
132D1-13306: S.クラウン、ドレス、ステーブなど
13307-13332: T.戦争、狩猟、肉屋
13333-13361: U.農業、工芸品、および職業
13362-133AE: V.ロープ、繊維、バスケット、バッグなど
133AF-133CE: W.石と陶器の器
133CF-133DA: X.パンとケーキ
133DB-133E3: Y.文章、ゲーム、音楽
133E4-1340C: Z.ストローク、階層的で幾何学的な図形に由来する標識
1340D-1342E: Aa。未分類
13430-13431: ジョイナー
13432-13435: 署名挿入コントロール
13436-13436: サインスタッキング制御
13437-13438: セグメントスコープデリミタ
14400-14469: A.人体と衣服
1446A-144AF: B.動物
144B0-144D0: C.植物
144D1-14501: D.自然
14502-1452F: E.建物
14530-14576: F.武器、工具、家具、その他の器具
14577-14595: G.花瓶とレセプタクル
14596-145AC: H.シンボル
145AD-145E5: J.線、数値、および幾何学的形状
145E6-14628: K.ヴァリア
14629-14646: M.追加の標識
16800-16856: フェーズAで発見されたキャラクター
16857-1688E: フェーズBで発見されたキャラクター
1688F-168F0: フェーズCで見つかったキャラクター
168F1-16965: フェーズDで発見されたキャラクター
16966-16A02: フェーズEで発見されたキャラクター
16A03-16A38: フェーズFで発見されたキャラクター
16A40-16A5E: 手紙
16A60-16A69: 数字
16A6E-16A6F: 句読点
16AD0-16AE6: 子音文字
16AE7-16AED: 母音
16AF0-16AF4: トーンマークを組み合わせる
16AF5-16AF5: 句読点
16B00-16B1B: 母音の縁
16B1C-16B2F: 子音の発症
16B30-16B36: 分音記号を組み合わせる
16B37-16B3B: 句読点
16B3C-16B3F: 数学演算子
16B40-16B43: 修飾文字
16B44-16B45: 句読点
16B50-16B59: 数字
16B5B-16B61: 数字
16B63-16B77: ロゴグラフ
16B7D-16B8F: クラン名のロゴグラフ
16E40-16E5F: 大文字
16E60-16E7F: 小文字
16E80-16E89: 数字
16E8A-16E93: 数字
16E94-16E96: 代替数字
16E97-16E98: 句読点
16E99-16E9A: シンボル
16F00-16F4A: 子音の発症
16F4F-16F53: 修飾子
16F54-16F87: 母音と決勝
16F8F-16F92: トーンマークの位置決め
16F93-16F99: ベースライントーンマーク
16F9A-16F9F: 古風なベースライントーンマーク
16FE0-16FE0: タングートマーク
16FE1-16FE1: 沼州マーク
16FE2-16FE3: 古代中国のテキストで使用されているマーク
16FE4-16FE4: 小さなKhitan形式の文字
16FF0-16FF1: CJK表意文字の発音区別符号の組み合わせ
18800-18809: ワンストロークコンポーネント
1880A-18825: 2ストロークコンポーネント
18826-1885F: 3ストロークコンポーネント
18860-188CB: 4ストロークコンポーネント
188CC-18958: 5ストロークコンポーネント
18959-189DA: 6ストロークコンポーネント
189DB-18A40: 7ストロークコンポーネント
18A41-18A98: 8ストロークコンポーネント
18A99-18AC0: 9ストロークコンポーネント
18AC1-18AD4: 10ストロークコンポーネント
18AD5-18AE2: 11ストロークコンポーネント
18AE3-18AEB: 12ストロークコンポーネント
18AEC-18AF1: 13ストロークコンポーネント
18AF2-18AF2: 16ストロークコンポーネント
18AF3-18AFF: 追加コンポーネント
18B00-18B00: 反復マーク
18B01-18B35: ラジカル-01
18B36-18B69: ラジカル-02
18B6A-18B93: ラジカル-03
18B94-18BAC: ラジカル-04
18BAD-18BD1: ラジカル05
18BD2-18C00: ラジカル-06
18C01-18C12: ラジカル07
18C13-18C27: ラジカル-08
18C28-18C2E: ラジカル09
18C2F-18C36: ラジカル-10
18C37-18C4B: ラジカル-11
18C4C-18C51: ラジカル-12
18C52-18C63: ラジカル-13
18C64-18C7E: ラジカル-14
18C7F-18C8B: ラジカル-15
18C8C-18C94: ラジカル-16
18C95-18CBF: ラジカル-17
18CC0-18CCB: ラジカル-18
18CCC-18CD2: ラジカル-19
18CD3-18CD5: ラジカル-20
1B000-1B000: 歴史的なカタカナ
1B001-1B001: 歴史あるひらがなと変態ながな
1B002-1B0FF: 変態なが
1B100-1B11E: 変態なが
1B150-1B152: 歴史的なひらがなの文字
1B164-1B167: 歴史的な小さなカタカナ文字
1B170-1B170: 一筆文字
1B171-1B177: 2ストローク文字
1B178-1B18A: 三筆文字
1B18B-1B1A7: 4ストローク文字
1B1A8-1B1DD: 5ストローク文字
1B1DE-1B215: 6ストローク文字
1B216-1B243: 7ストローク文字
1B244-1B283: 8ストローク文字
1B284-1B2AF: 9ストローク文字
1B2B0-1B2CD: 10ストローク文字
1B2CE-1B2E0: 11ストローク文字
1B2E1-1B2ED: 12ストローク文字
1B2EE-1B2F3: 13ストローク文字
1B2F4-1B2F6: 14ストローク文字
1B2F7-1B2F9: 15ストローク文字
1B2FA-1B2FB: 16ストローク文字
1BC00-1BC01: 結合していない子音
1BC02-1BC18: 子音
1BC19-1BC31: アーク子音
1BC32-1BC3A: 四分円弧の子音は下向きに書かれています
1BC3B-1BC40: 上向きに書かれた四分の一弧の子音
1BC41-1BC45: サークル母音
1BC46-1BC4E: 半円母音
1BC4F-1BC50: 対角線母音
1BC51-1BC54: 四分円母音
1BC55-1BC59: その他の母音
1BC5A-1BC5B: 点線の円母音
1BC5C-1BC60: 複合母音
1BC61-1BC64: 基本的な鼻の母音
1BC65-1BC6A: 追加の鼻母音
1BC70-1BC7C: 添付された接辞
1BC80-1BC88: 高い接辞
1BC90-1BC99: 低い接辞
1BC9C-1BC9C: その他のサイン
1BC9D-1BC9D: スローンRフォームセレクター
1BC9E-1BC9E: 省略形のダブルマーク
1BC9F-1BC9F: チヌーク句読点
1BCA0-1BCA3: 省略形のコントロール
1D000-1D002: プロソディー（韻律）
1D003-1D014: エクフォネティカ
1D015-1D045: メロディマタ（旋律）
1D046-1D056: Fonitika（ボーカル）
1D057-1D07E: AfonaまたはYpostaseis（ミュートまたはヒポターゼ）
1D07F-1D089: Argies（Retards）
1D08A-1D08E: LeimmataまたはSiopes（LeimmasまたはSilencers）
1D08F-1D099: SynagmataまたはGorgotites（SynagmaまたはQuickeners）
1D09A-1D0A1: アゴギカ（コンジット）
1D0A2-1D0B5: イチマタとマルティリカ（イチマと証拠）
1D0B6-1D0CA: Fthores（駆逐艦）
1D0CB-1D0D9: Alloioseis（微分器）
1D0DA-1D0E5: リズミカ（リズミクス）
1D0E6-1D0EF: グラマタ（手紙）
1D0F0-1D0F5: 特別
1D100-1D105: バー
1D106-1D10C: Codas
1D10D-1D10F: 図の繰り返し
1D110-1D113: 保留して一時停止
1D114-1D115: スタッフブラケット
1D116-1D11B: 五線
1D11C-1D11D: タブ譜
1D11E-1D126: 音部記号
1D129-1D129: 残り
1D12A-1D133: 偶発的
1D134-1D135: 拍子
1D136-1D139: オクターブ
1D13A-1D142: 休憩
1D143-1D15B: 符頭
1D15C-1D164: ノート
1D165-1D166: 茎
1D167-1D16C: トレモロ
1D16D-1D16D: 補強ドット
1D16E-1D172: 旗
1D173-1D17A: ビームとスラー
1D17B-1D18E: アーティキュレーション
1D18F-1D193: ダイナミクス
1D194-1D1A5: 装飾品
1D1A6-1D1A9: 分析
1D1AA-1D1AD: 計装
1D1AE-1D1B0: ペダル
1D1B1-1D1B5: その他の記号
1D1B6-1D1C0: Mensural notes
1D1C1-1D1C6: 月経休み
1D1C7-1D1CE: 月経の比例配分
1D1CF-1D1CF: その他の記号
1D1D0-1D1D1: 音部記号
1D1D2-1D1D2: 偶然
1D1D3-1D1DD: ノート
1D1DE-1D1DE: 音部記号
1D1DF-1D1DF: 装飾
1D1E0-1D1E7: ノート
1D1E8-1D1E8: 偶然
1D200-1D21C: 古代ギリシャ語の記譜法
1D21D-1D241: 古代ギリシャの楽器表記
1D242-1D245: その他のギリシャの記譜記号
1D2E0-1D2F3: マヤ数字
1D300-1D300: モノグラム
1D301-1D305: ダイグラム
1D306-1D356: テトラグラム
1D360-1D371: カウントロッドユニット
1D372-1D376: 表意文字のタリーマーク
1D377-1D378: 西のタリーマーク
1D400-1D433: 太字の記号
1D434-1D467: 斜体の記号
1D468-1D49B: 太字斜体記号
1D49C-1D4CF: スクリプト記号
1D4D0-1D503: 太字のスクリプトシンボル
1D504-1D537: フラクトゥール記号
1D538-1D56B: 二重線の記号
1D56C-1D59F: 大胆なFrakturシンボル
1D5A0-1D5D3: サンセリフ記号
1D5D4-1D607: サンセリフ太字記号
1D608-1D63B: サンセリフ斜体記号
1D63C-1D66F: サンセリフの太字斜体記号
1D670-1D6A3: 等幅記号
1D6A4-1D6A5: ドットレスシンボル
1D6A8-1D6DA: 太字のギリシャ記号
1D6DB-1D6E1: 追加の太字ギリシャ記号
1D6E2-1D714: ギリシャ語の斜体記号
1D715-1D71B: 追加のイタリックギリシャ記号
1D71C-1D74E: 太字のイタリックギリシャ記号
1D74F-1D755: 追加の太字斜体ギリシャ記号
1D756-1D788: サンセリフの太字ギリシャ記号
1D789-1D78F: 追加のサンセリフ太字ギリシャ記号
1D790-1D7C2: サンセリフの太字斜体ギリシャ記号
1D7C3-1D7C9: 追加のsans-serifボールドイタリックギリシャ記号
1D7CA-1D7CB: 追加の太字ギリシャ記号
1D7CE-1D7D7: 太字
1D7D8-1D7E1: 二重打たれた数字
1D7E2-1D7EB: サンセリフ数字
1D7EC-1D7F5: サンセリフ太字
1D7F6-1D7FF: 等幅数字
1D800-1D80D: 人差し指で手の形
1D80E-1D81D: 人差し指と中指のある手の形
1D81E-1D843: 人差し指と中指と親指のある手の形
1D844-1D84B: 4本の指を持つ手の形
1D84C-1D885: 5本の指を持つ手の形
1D886-1D8A3: 小指で手の形
1D8A4-1D8B9: 薬指を持つ手の形
1D8BA-1D8CC: 中指で手の形
1D8CD-1D8F4: 人差し指と親指のある手の形
1D8F5-1D904: 親指で手の形
1D905-1D915: 接触動作インジケーター
1D916-1D929: 指の動きのインジケーター
1D92A-1D9F4: 動きのインジケーター
1D9F5-1D9FE: ダイナミクスインジケーター
1D9FF-1DA6C: 頭の形
1DA6D-1DA7E: 体型
1DA7F-1DA86: ロケーションベース
1DA87-1DA8B: 句読点
1DA9B-1DA9F: 塗りつぶし修飾子
1DAA1-1DAAF: 回転修飾子
1E000-1E02A: 文字を組み合わせる
1E100-1E123: 子音の発症
1E124-1E12C: 母音の縁
1E130-1E136: トーンマーク
1E137-1E13B: 決定論
1E13C-1E13C: 繰り返しマーク
1E13D-1E13D: 音節延長
1E140-1E149: 数字
1E14E-1E14F: シンボル
1E2C0-1E2EB: 手紙
1E2EC-1E2EF: トーンマーク
1E2F0-1E2F9: 数字
1E2FF-1E2FF: 通貨記号
1E800-1E807: k-の音節
1E808-1E810: w-の音節
1E811-1E813: wv-の音節
1E814-1E81A: m-の音節
1E81B-1E821: b-の音節
1E822-1E82D: 母音
1E82E-1E835: s-の音節
1E836-1E83D: l-の音節
1E83E-1E843: d-の音節
1E844-1E84A: t-の音節
1E84B-1E852: j-の音節
1E853-1E859: yの音節
1E85A-1E862: f-の音節
1E863-1E867: n-の音節
1E868-1E876: h-の音節
1E877-1E882: ngg-の音節
1E883-1E888: g-の音節
1E889-1E88B: ng-の音節
1E88C-1E892: p-の音節
1E893-1E89E: mb-の音節
1E89F-1E8A5: kp-の音節
1E8A6-1E8AC: GB-の音節
1E8AD-1E8AD: r-の音節
1E8AE-1E8B4: nd-の音節
1E8B5-1E8B8: nj-の音節
1E8B9-1E8BF: vの音節
1E8C0-1E8C4: nyの音節
1E8C7-1E8CF: 数字
1E8D0-1E8D6: 基数の組み合わせ
1E900-1E91B: 大文字
1E91C-1E921: 補足的な大文字
1E922-1E93D: 小文字
1E93E-1E943: 補足的な小文字
1E944-1E94A: ダイアクリティカルマーク
1E94B-1E94B: 修飾文字
1E950-1E959: 数字
1E95E-1E95F: 句読点
1EC71-1EC79: 一次番号
1EC7A-1EC82: 数十
1EC83-1EC8B: 何百
1EC8C-1EC94: 数千
1EC95-1EC9D: 1万
1EC9E-1ECA0: ラクス
1ECA1-1ECA2: クロアス
1ECA3-1ECAB: 一次番号のプレフィックス形式
1ECAC-1ECAC: プレースホルダー
1ECAD-1ECAF: 分数
1ECB0-1ECB0: 通貨記号
1ECB1-1ECB4: 代替フォーム
1ED01-1ED09: 一次番号
1ED0A-1ED12: 数十
1ED13-1ED1B: 何百
1ED1C-1ED24: 数千
1ED25-1ED2D: 1万
1ED2E-1ED2E: 乗数
1ED2F-1ED3B: 代替フォーム
1ED3C-1ED3D: 分数
1EE00-1EE1F: 分離記号
1EE21-1EE3B: 最初の記号
1EE42-1EE5F: 尾のシンボル
1EE61-1EE7E: ストレッチシンボル
1EE80-1EE9B: ループシンボル
1EEA1-1EEBB: 二重線の記号
1EEF0-1EEF1: ストレッチ演算子
1F000-1F003: 一般的な風タイル
1F004-1F006: ドラゴンタイル
1F007-1F00F: キャラクタースーツタイル
1F010-1F018: 竹のスーツタイル
1F019-1F021: サークルスーツタイル
1F022-1F025: 花タイル
1F026-1F029: シーズンタイル
1F02A-1F02B: その他のタイル
1F030-1F030: 水平タイル
1F031-1F037: ゼロ
1F038-1F03E: もの
1F03F-1F045: ツー
1F046-1F04C: スリーズ
1F04D-1F053: Fours
1F054-1F05A: ファイブス
1F05B-1F061: シックス
1F062-1F062: 垂直タイル
1F063-1F069: ゼロ
1F06A-1F070: もの
1F071-1F077: ツー
1F078-1F07E: スリーズ
1F07F-1F085: Fours
1F086-1F08C: ファイブス
1F08D-1F093: シックス
1F0A0-1F0A0: カードの裏側
1F0A1-1F0AE: スペードまたはソード
1F0B1-1F0BE: ハートまたはカップ
1F0BF-1F0BF: ジョーカー
1F0C1-1F0CE: ダイヤモンドまたはペンタクル
1F0CF-1F0CF: ジョーカー
1F0D1-1F0DE: クラブまたはワンド
1F0DF-1F0DF: ジョーカー
1F0E0-1F0F5: トランプ
1F100-1F100: フルストップの番号
1F101-1F10A: カンマ付きの数字
1F10B-1F10C: 丸で囲んだサンセリフ数字
1F10D-1F10F: クリエイティブ・コモンズのシンボル
1F110-1F129: 括弧付きラテン文字
1F12A-1F12A: 亀甲括弧付きラテン文字
1F12B-1F12C: イタリック体のラテン文字
1F12D-1F12F: 丸で囲んだラテン文字または文字シーケンス
1F130-1F14F: 二乗ラテン文字
1F150-1F169: 黒丸のラテン文字に白
1F16A-1F16C: 二乗ラテンシーケンスの発生
1F16D-1F16F: クリエイティブ・コモンズのシンボル
1F170-1F18F: 黒い四角ラテン文字に白
1F190-1F19A: 二乗ラテン文字シーケンス
1F19B-1F1AC: ARIB STD B62の2乗ラテン文字シーケンス
1F1AD-1F1AD: その他の記号
1F1E6-1F1FF: 地域指標記号
1F200-1F200: ARIB STD B24の方形ひらがな
1F201-1F202: 四角カタカナ
1F210-1F231: 二乗表意文字とARIB STD B24の仮名
1F232-1F23B: 二乗表意文字
1F240-1F248: ARIB STD B24の亀甲ブラケット付き表意文字
1F250-1F251: 丸付き表意文字
1F260-1F265: 中国の民俗宗教のシンボル
1F300-1F30C: 天気、風景、空のシンボル
1F30D-1F310: グローブ記号
1F311-1F320: 月、太陽、星のシンボル
1F321-1F32C: 天気記号
1F32D-1F32F: 食品のシンボル
1F330-1F344: 植物のシンボル
1F345-1F353: 果物と野菜のシンボル
1F354-1F374: 食品のシンボル
1F375-1F37C: 飲料シンボル
1F37D-1F37D: 宿泊シンボル
1F37E-1F37F: 飲料と食品のシンボル
1F380-1F397: お祝いのシンボル
1F398-1F39D: 音楽記号
1F39E-1F3AD: エンターテインメントのシンボル
1F3AE-1F3B4: ゲームシンボル
1F3B5-1F3BC: 音楽記号
1F3BD-1F3D3: スポーツシンボル
1F3D4-1F3F0: シンボルの作成とマップ
1F3F1-1F3F4: フラグ記号
1F3F5-1F3F6: ロゼット
1F3F7-1F3F7: その他の記号
1F3F8-1F3F9: スポーツシンボル
1F3FA-1F3FA: その他の記号
1F3FB-1F3FF: 絵文字修飾子
1F400-1F42C: 動物のシンボル
1F42D-1F43D: 動物の顔
1F43E-1F43F: 動物のシンボル
1F440-1F445: 顔のパーツのシンボル
1F446-1F450: 手の記号
1F451-1F463: 服とアクセサリー
1F464-1F477: 肖像画と役割のシンボル
1F478-1F480: おとぎ話のシンボル
1F481-1F483: 役割記号
1F484-1F488: パーソナルケアシンボル
1F489-1F48A: 医療シンボル
1F48B-1F492: ロマンスのシンボル
1F493-1F49F: ハート記号
1F4A0-1F4AD: コミック風シンボル
1F4AE-1F4AF: 日本の学年のシンボル
1F4B0-1F4B9: お金のシンボル
1F4BA-1F4DC: オフィスシンボル
1F4DD-1F4F6: 通信シンボル
1F4F7-1F4FE: オーディオとビデオのシンボル
1F4FF-1F4FF: 宗教的なシンボル
1F500-1F518: ユーザーインターフェイスシンボル
1F519-1F51D: 矢印の付いた単語
1F51E-1F51F: 囲まれた英数字記号
1F520-1F524: ユーザーインターフェイスの入力ステータスシンボル
1F525-1F52E: ツール記号
1F52F-1F531: その他の記号
1F532-1F539: 幾何学的形状
1F53A-1F53D: ユーザーインターフェイスシンボル
1F53E-1F53F: 影付きの幾何学的形状
1F540-1F54E: 宗教的なシンボル
1F54F-1F54F: その他の記号
1F550-1F567: 時計の文字盤の記号
1F568-1F56C: 通信シンボル
1F56D-1F576: その他の記号
1F577-1F578: 動物のシンボル
1F579-1F579: ゲームシンボル
1F57A-1F57A: 役割記号
1F57B-1F58D: 通信シンボル
1F58E-1F5A3: 手の記号
1F5A4-1F5A4: ハートマーク
1F5A5-1F5B8: コンピューター記号
1F5B9-1F5BE: オフィスシンボル
1F5BF-1F5DD: ユーザーインターフェイスシンボル
1F5DE-1F5E0: その他の記号
1F5E1-1F5E3: 定格記号
1F5E4-1F5E7: 音記号
1F5E8-1F5F2: バブル記号
1F5F3-1F5F9: 投票記号
1F5FA-1F5FA: 地図記号
1F5FB-1F5FF: 文化的シンボル
1F600-1F637: 顔
1F638-1F640: 猫の顔
1F641-1F644: 顔
1F645-1F64F: ジェスチャーシンボル
1F650-1F667: フリューロン
1F668-1F66B: キルトの正方形の装飾品
1F66C-1F66F: ロケットの装飾品
1F670-1F675: アンパサンドと合字などの装飾
1F676-1F67D: 句読点の装飾
1F67E-1F67F: その他の記号
1F680-1F6A4: 車両
1F6A5-1F6A8: どうろひょうしき
1F6A9-1F6CA: 看板やその他のシンボル
1F6CB-1F6CF: 宿泊シンボル
1F6D0-1F6D2: 看板やその他のシンボル
1F6D3-1F6D7: 地図記号
1F6E0-1F6E4: その他の記号
1F6E5-1F6FC: 車両
1F700-1F704: アリストテレスの要素の記号
1F705-1F70C: 重要な溶剤の記号
1F70D-1F713: 硫黄と水銀の記号
1F714-1F719: 塩、ビタミン、および硝酸塩の記号
1F71A-1F71B: 金と銀のシンボル
1F71C-1F71F: 鉄、鉄鉱石および誘導体の記号
1F720-1F728: 銅、銅鉱石および誘導体の記号
1F729-1F72A: スズおよび鉛鉱石の記号
1F72B-1F735: アンチモン、アンチモン鉱石および誘導体の記号
1F736-1F75D: 他の物質の記号
1F75E-1F764: プロセス
1F765-1F76D: 装置
1F76E-1F771: 時間
1F772-1F773: 対策
1F780-1F783: 二等辺三角形
1F784-1F784: 黒丸
1F785-1F789: 白い円
1F78A-1F78A: 別の黒い円を含む白い円
1F78B-1F78B: ターゲット記号
1F78C-1F78D: 黒い四角
1F78E-1F793: 白い四角
1F794-1F795: 別の黒い正方形を含む白い正方形
1F796-1F796: ターゲット記号
1F797-1F799: ブラックダイヤモンド
1F79A-1F79B: 別のブラックダイヤモンドを含むホワイトダイヤモンド
1F79C-1F79C: ターゲット記号
1F79D-1F79F: 黒いトローチ
1F7A0-1F7A0: 別の黒い菱形を含む白い菱形
1F7A1-1F7A7: ギリシャの十字架
1F7A8-1F7AE: サルティエ
1F7AF-1F7B4: 5つのスポーク付きアスタリスク
1F7B5-1F7BA: 6つのスポーク付きアスタリスク
1F7BB-1F7BF: 8つのスポーク付きアスタリスク
1F7C0-1F7C3: 三ツ星
1F7C4-1F7C8: 四つ星
1F7C9-1F7CA: 5つの先の尖った星
1F7CB-1F7CD: 六つ星
1F7CE-1F7D1: 八つ星
1F7D2-1F7D4: 12の先の尖った星
1F7D5-1F7D8: 石のマーカーに行く
1F7E0-1F7E4: 色付きの円
1F7E5-1F7EB: 色付きの四角
1F800-1F80B: 三角形の矢印の付いた矢印
1F810-1F81F: 正三角形の矢じりを持つ矢印
1F820-1F833: シャフトの重さが異なる三角形の矢印
1F834-1F837: フィンガーポスト矢印
1F838-1F83B: 四角矢印
1F83C-1F843: 圧縮された矢印
1F844-1F847: 重い矢
1F850-1F859: サンセリフ矢印
1F860-1F887: 幅広のバーブアロー
1F890-1F897: 矢じり
1F898-1F89B: ノッチ付き矢印
1F89C-1F89F: 太矢印シャフト
1F8A0-1F8AB: 影付きの白い矢印
1F8AC-1F8AD: 白い矢印シャフト
1F8B0-1F8B1: レガシーコンピューティングの矢
1F900-1F90B: Typiconシンボル
1F90C-1F90C: 手の記号
1F90D-1F90E: 色のハート記号
1F90F-1F90F: 手の記号
1F910-1F917: 顔文字の顔
1F918-1F91F: 手の記号
1F920-1F92F: 顔文字の顔
1F930-1F937: 肖像画と役割のシンボル
1F938-1F93F: スポーツシンボル
1F940-1F94F: その他の記号
1F950-1F96F: 食品のシンボル
1F970-1F97A: 顔
1F97B-1F97F: 衣類
1F980-1F9AD: 動物のシンボル
1F9AE-1F9AF: アクセシビリティ記号
1F9B0-1F9B3: 絵文字コンポーネント
1F9B4-1F9B7: 体の部分
1F9B8-1F9B9: 役割記号
1F9BA-1F9BF: アクセシビリティ記号
1F9C0-1F9CB: 食品のシンボル
1F9CD-1F9CF: 縦向きとアクセシビリティの記号
1F9D0-1F9D8: 肖像画と役割のシンボル
1F9D9-1F9DF: ファンタジーの生き物
1F9E0-1F9E6: その他の記号
1F9E7-1F9E9: 活動内容
1F9EA-1F9FF: オブジェクト
1FA00-1FA05: ニュートラルチェスシンボル
1FA06-1FA08: チェスのシンボルが45度回転
1FA09-1FA1A: 90度回転したチェスのシンボル
1FA1B-1FA1D: チェスのシンボルが135度回転
1FA1E-1FA2F: 180度回転したチェスシンボル（回転）
1FA30-1FA32: 225度回転したチェスのシンボル
1FA33-1FA44: 270度回転したチェスのシンボル
1FA45-1FA47: 315度回転したチェスのシンボル
1FA48-1FA4A: チェスエクイホッパー
1FA4B-1FA4D: チェスエクイホッパーが90度回転
1FA4E-1FA53: ハイブリッドチェスシンボル
1FA60-1FA6D: Xiangqiシンボル
1FA70-1FA74: 衣類
1FA78-1FA7A: 医療シンボル
1FA80-1FA86: おもちゃとスポーツのシンボル
1FA90-1FAA8: その他のオブジェクト
1FAB0-1FAB6: 動物と自然
1FAC0-1FAC1: 体の部分
1FAC2-1FAC2: 人
1FAD0-1FAD6: 飲食
1FB00-1FB3B: モザイクターミナルのグラフィック文字をブロックする
1FB3C-1FB6F: 滑らかなモザイクターミナルのグラフィック文字
1FB70-1FB8B: ブロック要素
1FB8C-1FB94: 長方形の陰影文字
1FB95-1FB99: 文字を埋める
1FB9A-1FB9B: 滑らかなモザイクターミナルのグラフィック文字
1FB9C-1FB9F: 三角形の陰影文字
1FBA0-1FBAE: 文字セルの対角線
1FBAF-1FBAF: ストローク付きの薄い実線
1FBB0-1FBB3: 端末グラフィック文字
1FBB4-1FBB8: 矢
1FBB9-1FBBC: 端末グラフィック文字
1FBBD-1FBBF: 負の端末グラフィック文字
1FBC0-1FBCA: 端末グラフィック文字
1FBF0-1FBF9: セグメント化された数字
1FFFE-1FFFF: 非文字
2F800-2FA1D: CNS 11643-1992からの重複文字
2FFFE-2FFFF: 非文字
3FFFE-3FFFF: 非文字
4FFFE-4FFFF: 非文字
5FFFE-5FFFF: 非文字
6FFFE-6FFFF: 非文字
7FFFE-7FFFF: 非文字
8FFFE-8FFFF: 非文字
9FFFE-9FFFF: 非文字
AFFFE-AFFFF: 非文字
BFFFE-BFFFF: 非文字
CFFFE-CFFFF: 非文字
DFFFE-DFFFF: 非文字
E0001-E0001: タグ識別子
E0020-E007E: コンポーネントにタグを付ける
E007F-E007F: ステートフルタグターミネータ
E0100-E01EF: 表意文字固有のバリエーションセレクター
EFFFE-EFFFF: 非文字
FFFFE-FFFFF: 非文字
